wo_number,equipment_id,equipment_type,wo_type,status,created_date,scheduled_date,completed_date,assigned_technician,downtime_hours,labor_hours,part_number,priority,description
WO-25799,F-076,Forklift,Emergency,In Progress,2025-09-17,2025-09-22,,Maria Garcia,13.0,,,Medium,Hydraulic cylinder failure - production down
WO-25661,CP-086,Centrifugal Pump,Scheduled Inspection,In Progress,2025-09-17,2025-09-22,,Sarah Chen,0.0,,,Low,Main drive bearing failure - emergency repair
WO-24768,CT-013,Cooling Tower,Preventive,In Progress,2025-09-17,2025-09-21,,James Wilson,0.0,,,Low,Routine maintenance and inspection
WO-24105,HS-024,HVAC System,Preventive,Completed,2025-09-17,2025-09-21,2025-09-24,Lisa Anderson,0.0,2.2,,Low,Monthly calibration check
WO-24927,HS-022,HVAC System,Preventive,In Progress,2025-09-17,2025-09-18,,Mike Thompson,0.0,,,Low,Annual inspection and coating check
WO-24276,CP-015,Centrifugal Pump,Emergency,Open,2025-09-17,2025-09-19,,Robert Johnson,19.8,,,High,Belt tracking issue - alignment needed
WO-24602,CP-057,Centrifugal Pump,Preventive,Completed,2025-09-17,2025-09-21,2025-09-21,Emily Davis,0.0,4.6,,Low,Weekly lubrication and inspection
WO-24244,AC-036,Air Compressor,Preventive,Open,2025-09-16,2025-09-18,,Mike Thompson,0.0,,COM-781,Medium,Quarterly maintenance cycle
WO-25382,B-073,Blower,Emergency,Completed,2025-09-16,2025-09-20,2025-09-22,Robert Johnson,0.0,1.3,,Medium,Replace mechanical seal - excessive leaking
WO-24952,RA-032,Robotic Arm,Corrective,Completed,2025-09-16,2025-09-17,2025-09-20,John Martinez,8.4,15.8,VAL-615,High,Pressure relief valve replacement
WO-25633,C-046,Crane,Preventive,Completed,2025-09-16,2025-09-21,2025-09-22,Robert Johnson,0.0,3.3,,High,Monthly filter replacement
WO-25341,C-097,Crane,Preventive,Completed,2025-09-16,2025-09-17,2025-09-17,James Wilson,0.0,4.7,,Critical,Monthly calibration check
WO-24198,RA-032,Robotic Arm,Corrective,Scheduled,2025-09-16,2025-09-19,,David Kim,17.2,,BEL-346,Medium,Unloader valve failure - compressor cycling
WO-25628,C-027,Chiller,Corrective,Completed,2025-09-16,2025-09-17,2025-09-19,James Wilson,18.6,28.5,BEL-839,High,Unloader valve failure - compressor cycling
WO-24564,B-098,Blower,Preventive,Completed,2025-09-16,2025-09-20,2025-09-22,Sarah Chen,0.0,1.1,,Medium,Monthly filter replacement
WO-24517,C-046,Crane,Preventive,Completed,2025-09-16,2025-09-17,2025-09-18,Mike Thompson,0.0,4.3,,Medium,Annual inspection and coating check
WO-24134,F-076,Forklift,Emergency,Completed,2025-09-16,2025-09-19,2025-09-19,Jennifer Lee,15.0,22.4,,Medium,Replace mechanical seal - excessive leaking
WO-24365,CT-026,Cooling Tower,Preventive,Completed,2025-09-16,2025-09-19,2025-09-21,Sarah Chen,0.0,3.9,MOT-940,Medium,Quarterly maintenance cycle
WO-24428,CT-089,Cooling Tower,Preventive,In Progress,2025-09-16,2025-09-17,,John Martinez,0.0,,,Medium,Quarterly PM - filters and oil change
WO-24098,EM-078,Electric Motor,Corrective,Completed,2025-09-15,2025-09-16,2025-09-18,Emily Davis,0.0,2.5,,Medium,Motor overheating - thermal relay replaced
WO-24523,B-045,Blower,Preventive,Completed,2025-09-15,2025-09-17,2025-09-18,John Martinez,0.0,4.6,,Low,Weekly lubrication and inspection
WO-25005,F-034,Forklift,Preventive,Completed,2025-09-15,2025-09-18,2025-09-19,Robert Johnson,0.0,3.2,COI-303,Medium,Monthly calibration check
WO-24493,EM-078,Electric Motor,Preventive,In Progress,2025-09-15,2025-09-19,,Sarah Chen,0.0,,,Medium,Routine maintenance and inspection
WO-25714,F-039,Forklift,Corrective,Completed,2025-09-15,2025-09-19,2025-09-19,Mike Thompson,10.4,17.2,THE-516,Medium,Unloader valve failure - compressor cycling
WO-24668,M-019,Mixer,Preventive,Scheduled,2025-09-15,2025-09-20,,Sarah Chen,0.0,,,Medium,Quarterly maintenance cycle
WO-25589,G-092,Gearbox,Preventive,Completed,2025-09-14,2025-09-16,2025-09-16,Maria Garcia,0.0,2.7,,Medium,Quarterly maintenance cycle
WO-25233,CP-015,Centrifugal Pump,Scheduled Inspection,Completed,2025-09-14,2025-09-19,2025-09-22,Mike Thompson,0.0,2.2,,Low,Belt tracking issue - alignment needed
WO-25363,CB-079,Conveyor Belt,Preventive,Completed,2025-09-14,2025-09-15,2025-09-15,Lisa Anderson,0.0,4.9,,Low,Weekly lubrication and inspection
WO-25722,F-034,Forklift,Preventive,In Progress,2025-09-14,2025-09-18,,Robert Johnson,0.0,,HOS-289,High,Monthly filter replacement
WO-24915,HS-012,HVAC System,Preventive,Open,2025-09-14,2025-09-17,,David Kim,0.0,,,Medium,Routine maintenance and inspection
WO-24191,G-047,Gearbox,Preventive,In Progress,2025-09-14,2025-09-15,,Jennifer Lee,0.0,,,Critical,Quarterly maintenance cycle
WO-25470,RA-060,Robotic Arm,Preventive,Completed,2025-09-14,2025-09-16,2025-09-19,Jennifer Lee,0.0,4.6,,Critical,Routine maintenance and inspection
WO-25444,CP-042,Centrifugal Pump,Corrective,Completed,2025-09-14,2025-09-18,2025-09-21,Sarah Chen,15.6,24.0,,High,Unloader valve failure - compressor cycling
WO-25636,HS-021,HVAC System,Preventive,Open,2025-09-14,2025-09-16,,David Kim,0.0,,,Low,Annual inspection and coating check
WO-24045,C-037,Chiller,Corrective,Completed,2025-09-14,2025-09-16,2025-09-16,Sarah Chen,0.0,3.6,,Medium,Motor overheating - thermal relay replaced
WO-25380,CB-091,Conveyor Belt,Corrective,Scheduled,2025-09-14,2025-09-17,,Emily Davis,3.8,,ENC-193,High,Unloader valve failure - compressor cycling
WO-24235,CB-017,Conveyor Belt,Preventive,Completed,2025-09-14,2025-09-17,2025-09-19,Robert Johnson,0.0,4.4,PUM-586,High,Quarterly PM - filters and oil change
WO-24964,F-051,Forklift,Preventive,Completed,2025-09-13,2025-09-15,2025-09-16,Jennifer Lee,0.0,4.2,,High,Weekly lubrication and inspection
WO-24939,M-019,Mixer,Preventive,Scheduled,2025-09-13,2025-09-17,,James Wilson,0.0,,,Medium,Monthly calibration check
WO-24256,C-052,Crane,Corrective,Completed,2025-09-13,2025-09-15,2025-09-17,David Kim,16.5,26.4,,Low,Unloader valve failure - compressor cycling
WO-24626,CP-066,Centrifugal Pump,Scheduled Inspection,Completed,2025-09-13,2025-09-17,2025-09-19,Robert Johnson,0.0,1.4,,High,Unloader valve failure - compressor cycling
WO-24780,G-020,Gearbox,Corrective,Completed,2025-09-13,2025-09-14,2025-09-17,John Martinez,19.1,28.2,COM-263,Critical,Seal leaking - parts ordered
WO-24781,F-076,Forklift,Preventive,Completed,2025-09-13,2025-09-18,2025-09-21,Sarah Chen,0.0,2.3,,Low,Routine maintenance and inspection
WO-24423,G-047,Gearbox,Corrective,Scheduled,2025-09-13,2025-09-15,,James Wilson,7.3,,,Medium,Bearing seizure - replacement required
WO-24918,F-095,Forklift,Corrective,Completed,2025-09-12,2025-09-17,2025-09-20,Jennifer Lee,17.2,24.8,,Medium,Replace mechanical seal - excessive leaking
WO-25267,RA-093,Robotic Arm,Corrective,In Progress,2025-09-12,2025-09-16,,Lisa Anderson,9.8,,,Critical,Belt tracking issue - alignment needed
WO-25011,B-038,Boiler,Preventive,Completed,2025-09-12,2025-09-14,2025-09-17,Sarah Chen,0.0,2.8,,High,Monthly calibration check
WO-24847,HS-002,HVAC System,Preventive,Scheduled,2025-09-12,2025-09-15,,David Kim,0.0,,,Medium,Quarterly maintenance cycle
WO-25680,CT-026,Cooling Tower,Preventive,Completed,2025-09-12,2025-09-16,2025-09-16,Maria Garcia,0.0,3.6,,Medium,Monthly calibration check
WO-25070,C-090,Crane,Scheduled Inspection,In Progress,2025-09-12,2025-09-15,,Sarah Chen,0.0,,,Medium,Hydraulic cylinder failure - production down
WO-24252,M-030,Mixer,Preventive,Open,2025-09-12,2025-09-13,,Robert Johnson,0.0,,,Medium,Annual inspection and coating check
WO-24641,HS-012,HVAC System,Preventive,Completed,2025-09-12,2025-09-16,2025-09-19,Emily Davis,0.0,3.1,COI-439,Medium,Quarterly maintenance cycle
WO-24620,B-028,Boiler,Corrective,Completed,2025-09-12,2025-09-17,2025-09-19,Maria Garcia,14.5,20.6,CYL-734,High,Motor overheating - thermal relay replaced
WO-24328,B-038,Boiler,Corrective,Open,2025-09-12,2025-09-15,,Robert Johnson,12.8,,BEL-584,High,Seal leaking - parts ordered
WO-24495,CT-031,Cooling Tower,Preventive,Completed,2025-09-12,2025-09-13,2025-09-13,Robert Johnson,0.0,1.1,,High,Routine maintenance and inspection
WO-24389,CP-086,Centrifugal Pump,Corrective,Completed,2025-09-12,2025-09-17,2025-09-19,John Martinez,10.9,18.3,,Critical,Unloader valve failure - compressor cycling
WO-24839,B-043,Blower,Corrective,Completed,2025-09-11,2025-09-15,2025-09-18,James Wilson,0.0,4.0,FAN-614,Critical,Hydraulic cylinder failure - production down
WO-24169,F-035,Forklift,Preventive,Completed,2025-09-11,2025-09-16,2025-09-16,Maria Garcia,0.0,2.9,,Medium,Quarterly maintenance cycle
WO-24812,F-035,Forklift,Emergency,Completed,2025-09-11,2025-09-12,2025-09-12,John Martinez,13.4,19.3,,High,Hydraulic cylinder failure - production down
WO-25326,CT-005,Cooling Tower,Preventive,Completed,2025-09-11,2025-09-12,2025-09-13,Maria Garcia,0.0,4.5,,Medium,Monthly filter replacement
WO-24769,RA-094,Robotic Arm,Corrective,In Progress,2025-09-11,2025-09-12,,David Kim,3.8,,,High,Multiple seal failures - contamination issue
WO-25364,CT-005,Cooling Tower,Preventive,In Progress,2025-09-11,2025-09-16,,Maria Garcia,0.0,,,Low,Quarterly PM - filters and oil change
WO-24945,B-028,Boiler,Corrective,Completed,2025-09-11,2025-09-15,2025-09-18,Mike Thompson,3.1,8.4,,Critical,Motor overheating - thermal relay replaced
WO-24473,CB-091,Conveyor Belt,Preventive,Completed,2025-09-10,2025-09-11,2025-09-13,Lisa Anderson,0.0,3.9,,Medium,Monthly calibration check
WO-25579,F-034,Forklift,Corrective,Cancelled,2025-09-10,2025-09-12,,Mike Thompson,6.4,,FIL-331,Medium,Multiple seal failures - contamination issue
WO-25730,C-081,Crane,Preventive,Completed,2025-09-10,2025-09-11,2025-09-13,Emily Davis,0.0,3.9,IMP-296,High,Monthly filter replacement
WO-25440,EM-068,Electric Motor,Corrective,Completed,2025-09-10,2025-09-14,2025-09-15,John Martinez,4.6,8.9,THE-516,Low,Belt tracking issue - alignment needed
WO-24617,C-053,Chiller,Preventive,Completed,2025-09-10,2025-09-15,2025-09-15,John Martinez,0.0,2.9,FAN-510,Medium,Monthly calibration check
WO-25425,C-081,Crane,Preventive,Cancelled,2025-09-10,2025-09-15,,David Kim,0.0,,,Low,Quarterly maintenance cycle
WO-24257,B-045,Blower,Corrective,In Progress,2025-09-10,2025-09-15,,Lisa Anderson,5.6,,BEL-227,Medium,Belt tracking issue - alignment needed
WO-24433,HP-062,Hydraulic Press,Scheduled Inspection,Completed,2025-09-10,2025-09-11,2025-09-12,David Kim,0.0,4.5,,Low,Motor overheating - thermal relay replaced
WO-24631,B-028,Boiler,Corrective,Completed,2025-09-10,2025-09-13,2025-09-13,Mike Thompson,11.4,19.6,COI-409,Low,Bearing seizure - replacement required
WO-24371,EM-078,Electric Motor,Preventive,Completed,2025-09-10,2025-09-11,2025-09-14,Emily Davis,0.0,4.9,,High,Quarterly PM - filters and oil change
WO-24132,RA-074,Robotic Arm,Corrective,Scheduled,2025-09-10,2025-09-14,,Jennifer Lee,12.3,,,Low,Pressure relief valve replacement
WO-24080,B-025,Boiler,Corrective,Completed,2025-09-10,2025-09-12,2025-09-12,Mike Thompson,0.0,4.1,PUM-620,Medium,Unloader valve failure - compressor cycling
WO-24665,RA-094,Robotic Arm,Corrective,Completed,2025-09-10,2025-09-15,2025-09-15,Robert Johnson,16.2,22.9,MOT-996,High,Motor overheating - thermal relay replaced
WO-24830,EM-078,Electric Motor,Preventive,In Progress,2025-09-10,2025-09-13,,Mike Thompson,0.0,,,High,Quarterly PM - filters and oil change
WO-25681,CP-087,Centrifugal Pump,Corrective,Open,2025-09-10,2025-09-12,,Lisa Anderson,19.4,,,Medium,Multiple seal failures - contamination issue
WO-24810,M-061,Mixer,Preventive,Completed,2025-09-10,2025-09-11,2025-09-14,Mike Thompson,0.0,3.0,FIL-806,Medium,Weekly lubrication and inspection
WO-25377,RA-094,Robotic Arm,Emergency,Completed,2025-09-09,2025-09-13,2025-09-15,Mike Thompson,10.5,18.2,,Low,Unloader valve failure - compressor cycling
WO-24724,CP-066,Centrifugal Pump,Preventive,Completed,2025-09-09,2025-09-12,2025-09-14,Robert Johnson,0.0,3.7,,Low,Routine maintenance and inspection
WO-25328,HS-024,HVAC System,Preventive,Completed,2025-09-09,2025-09-13,2025-09-13,Maria Garcia,0.0,5.0,,Medium,Quarterly maintenance cycle
WO-25176,CP-086,Centrifugal Pump,Corrective,Completed,2025-09-09,2025-09-12,2025-09-12,Lisa Anderson,10.0,14.9,,Medium,Motor overheating - thermal relay replaced
WO-24016,B-070,Boiler,Preventive,Open,2025-09-09,2025-09-13,,Lisa Anderson,0.0,,,Critical,Routine maintenance and inspection
WO-24596,F-051,Forklift,Scheduled Inspection,Completed,2025-09-09,2025-09-12,2025-09-15,Emily Davis,0.0,3.9,,Medium,Hydraulic cylinder failure - production down
WO-25460,F-039,Forklift,Corrective,Completed,2025-09-09,2025-09-14,2025-09-16,Emily Davis,5.1,9.3,,High,Unloader valve failure - compressor cycling
WO-25317,G-092,Gearbox,Preventive,Completed,2025-09-09,2025-09-13,2025-09-15,David Kim,0.0,2.0,,Low,Routine maintenance and inspection
WO-25729,CT-082,Cooling Tower,Corrective,Completed,2025-09-09,2025-09-13,2025-09-13,Emily Davis,18.7,26.1,SEA-172,Medium,Pressure relief valve replacement
WO-25201,B-025,Boiler,Corrective,Completed,2025-09-09,2025-09-10,2025-09-10,James Wilson,11.8,20.2,SEA-451,High,Main drive bearing failure - emergency repair
WO-24974,F-039,Forklift,Corrective,Completed,2025-09-09,2025-09-10,2025-09-13,Robert Johnson,1.3,4.7,,Critical,Main drive bearing failure - emergency repair
WO-25527,CB-079,Conveyor Belt,Corrective,Completed,2025-09-09,2025-09-11,2025-09-11,Robert Johnson,0.0,1.5,FIL-576,Critical,Belt tracking issue - alignment needed
WO-25246,AC-014,Air Compressor,Corrective,Cancelled,2025-09-08,2025-09-13,,Lisa Anderson,0.0,,SEA-428,Medium,Main drive bearing failure - emergency repair
WO-24932,HP-062,Hydraulic Press,Corrective,Open,2025-09-08,2025-09-11,,Sarah Chen,12.4,,THE-562,Low,Main drive bearing failure - emergency repair
WO-24547,F-048,Forklift,Corrective,Open,2025-09-08,2025-09-10,,Sarah Chen,12.8,,,Critical,Hydraulic cylinder failure - production down
WO-25263,B-044,Boiler,Scheduled Inspection,Completed,2025-09-08,2025-09-11,2025-09-11,Jennifer Lee,0.0,1.8,,Medium,Motor overheating - thermal relay replaced
WO-25653,C-090,Crane,Scheduled Inspection,In Progress,2025-09-08,2025-09-10,,John Martinez,0.0,,,Low,Motor overheating - thermal relay replaced
WO-25757,HS-071,HVAC System,Scheduled Inspection,Completed,2025-09-08,2025-09-13,2025-09-15,John Martinez,0.0,3.7,,Low,Hydraulic cylinder failure - production down
WO-24822,HP-075,Hydraulic Pump,Preventive,Completed,2025-09-08,2025-09-12,2025-09-15,Mike Thompson,0.0,1.2,,High,Weekly lubrication and inspection
WO-25164,G-023,Gearbox,Emergency,Completed,2025-09-08,2025-09-11,2025-09-11,Mike Thompson,4.7,9.2,,High,Replace mechanical seal - excessive leaking
WO-24828,HS-012,HVAC System,Emergency,Completed,2025-09-08,2025-09-13,2025-09-16,Robert Johnson,14.1,20.2,,High,Main drive bearing failure - emergency repair
WO-24652,HS-012,HVAC System,Corrective,Open,2025-09-08,2025-09-12,,John Martinez,9.9,,,Low,Main drive bearing failure - emergency repair
WO-24373,CP-087,Centrifugal Pump,Preventive,Open,2025-09-08,2025-09-09,,David Kim,0.0,,,Low,Routine maintenance and inspection
WO-24340,CT-005,Cooling Tower,Corrective,Completed,2025-09-08,2025-09-13,2025-09-13,Lisa Anderson,11.8,19.8,SER-384,High,Pressure relief valve replacement
WO-24673,RA-072,Robotic Arm,Preventive,Completed,2025-09-08,2025-09-12,2025-09-14,Maria Garcia,0.0,3.2,SEA-891,Medium,Routine maintenance and inspection
WO-24136,G-047,Gearbox,Corrective,Completed,2025-09-07,2025-09-08,2025-09-08,Jennifer Lee,1.9,4.7,,Critical,Hydraulic cylinder failure - production down
WO-24900,HS-022,HVAC System,Preventive,Completed,2025-09-07,2025-09-08,2025-09-08,David Kim,0.0,3.4,,Medium,Monthly calibration check
WO-25120,ST-083,Storage Tank,Preventive,Open,2025-09-07,2025-09-10,,Robert Johnson,0.0,,,Medium,Weekly lubrication and inspection
WO-25200,M-059,Mixer,Preventive,Completed,2025-09-07,2025-09-11,2025-09-12,Mike Thompson,0.0,4.7,,Low,Routine maintenance and inspection
WO-24971,EM-068,Electric Motor,Preventive,Completed,2025-09-07,2025-09-08,2025-09-10,Lisa Anderson,0.0,1.1,FIL-139,Medium,Routine maintenance and inspection
WO-25251,HS-022,HVAC System,Corrective,Completed,2025-09-07,2025-09-09,2025-09-10,Sarah Chen,0.0,1.0,,Medium,Hydraulic cylinder failure - production down
WO-24054,C-046,Crane,Corrective,Completed,2025-09-07,2025-09-08,2025-09-11,James Wilson,0.0,4.7,BEL-350,Medium,Motor overheating - thermal relay replaced
WO-25560,CT-026,Cooling Tower,Corrective,Cancelled,2025-09-07,2025-09-09,,Robert Johnson,10.8,,MOT-180,Medium,Replace mechanical seal - excessive leaking
WO-24483,B-044,Boiler,Preventive,Completed,2025-09-07,2025-09-10,2025-09-10,Jennifer Lee,0.0,4.4,SEA-749,Medium,Monthly filter replacement
WO-24349,M-084,Mixer,Preventive,Completed,2025-09-07,2025-09-10,2025-09-11,John Martinez,0.0,1.3,,Medium,Weekly lubrication and inspection
WO-24503,CT-031,Cooling Tower,Corrective,Completed,2025-09-07,2025-09-11,2025-09-14,Jennifer Lee,0.0,4.3,PUM-101,Low,Bearing seizure - replacement required
WO-25545,C-080,Chiller,Preventive,Completed,2025-09-07,2025-09-10,2025-09-12,John Martinez,0.0,3.1,CYL-947,Critical,Weekly lubrication and inspection
WO-25679,B-069,Boiler,Corrective,Cancelled,2025-09-07,2025-09-09,,Mike Thompson,2.8,,,High,Motor overheating - thermal relay replaced
WO-24837,C-080,Chiller,Corrective,In Progress,2025-09-06,2025-09-10,,Jennifer Lee,17.4,,,Medium,Unloader valve failure - compressor cycling
WO-25369,G-092,Gearbox,Emergency,Completed,2025-09-06,2025-09-07,2025-09-08,John Martinez,3.6,9.6,,Medium,Hydraulic cylinder failure - production down
WO-24732,C-081,Crane,Corrective,Completed,2025-09-06,2025-09-07,2025-09-07,John Martinez,1.8,5.3,FAN-713,Medium,Unloader valve failure - compressor cycling
WO-24709,HP-009,Hydraulic Press,Corrective,Completed,2025-09-06,2025-09-10,2025-09-13,Lisa Anderson,0.0,4.4,,Medium,Multiple seal failures - contamination issue
WO-24957,EM-056,Electric Motor,Corrective,Open,2025-09-06,2025-09-09,,Lisa Anderson,6.0,,,Critical,Pressure relief valve replacement
WO-24733,B-016,Blower,Preventive,Completed,2025-09-06,2025-09-10,2025-09-12,Emily Davis,0.0,3.1,,Low,Monthly calibration check
WO-25735,F-004,Forklift,Corrective,In Progress,2025-09-06,2025-09-07,,Sarah Chen,18.2,,,Critical,Hydraulic cylinder failure - production down
WO-24943,EM-063,Electric Motor,Preventive,In Progress,2025-09-06,2025-09-09,,James Wilson,0.0,,,Medium,Monthly filter replacement
WO-24366,CT-005,Cooling Tower,Scheduled Inspection,Scheduled,2025-09-06,2025-09-09,,Emily Davis,0.0,,,Medium,Bearing seizure - replacement required
WO-25433,G-023,Gearbox,Preventive,Completed,2025-09-06,2025-09-09,2025-09-09,Maria Garcia,0.0,1.2,,Critical,Monthly filter replacement
WO-24942,HP-075,Hydraulic Pump,Preventive,Completed,2025-09-06,2025-09-11,2025-09-14,David Kim,0.0,1.9,ENC-759,Medium,Routine maintenance and inspection
WO-24968,F-034,Forklift,Preventive,Scheduled,2025-09-06,2025-09-11,,Lisa Anderson,0.0,,HOS-104,Low,Annual inspection and coating check
WO-24319,HP-009,Hydraulic Press,Corrective,Completed,2025-09-06,2025-09-08,2025-09-09,Jennifer Lee,5.9,11.4,,High,Replace mechanical seal - excessive leaking
WO-24290,RA-060,Robotic Arm,Preventive,Completed,2025-09-06,2025-09-11,2025-09-13,Emily Davis,0.0,4.7,BEL-330,Low,Quarterly maintenance cycle
WO-25069,CP-049,Centrifugal Pump,Corrective,Completed,2025-09-05,2025-09-07,2025-09-07,David Kim,17.8,27.4,THE-519,High,Unloader valve failure - compressor cycling
WO-25403,C-037,Chiller,Preventive,Completed,2025-09-05,2025-09-06,2025-09-08,Maria Garcia,0.0,1.5,CYL-182,Medium,Monthly filter replacement
WO-24398,C-065,Chiller,Corrective,Open,2025-09-05,2025-09-09,,Robert Johnson,10.3,,,Medium,Unloader valve failure - compressor cycling
WO-24151,CB-017,Conveyor Belt,Corrective,Cancelled,2025-09-05,2025-09-07,,Lisa Anderson,4.9,,ENC-621,Critical,Bearing seizure - replacement required
WO-24672,M-061,Mixer,Corrective,Completed,2025-09-05,2025-09-09,2025-09-12,Emily Davis,4.7,10.0,,High,Replace mechanical seal - excessive leaking
WO-25489,B-045,Blower,Preventive,Completed,2025-09-05,2025-09-08,2025-09-10,Robert Johnson,0.0,1.8,,Medium,Quarterly maintenance cycle
WO-25443,B-045,Blower,Corrective,Cancelled,2025-09-05,2025-09-06,,James Wilson,1.2,,PUM-266,Low,Motor overheating - thermal relay replaced
